Iteration 0, D_loss = 0.2375,G_loss = 8.6420,train acc = 0.8235, test acc = 0.8333,best acc = 0.8333,lr = 0.00020000 
Iteration 1, D_loss = 0.1284,G_loss = 11.1811,train acc = 0.8162, test acc = 0.8333,best acc = 0.8333,lr = 0.00020000 
Iteration 2, D_loss = 0.0079,G_loss = 13.9316,train acc = 0.8235, test acc = 0.8333,best acc = 0.8333,lr = 0.00020000 
Iteration 3, D_loss = 0.0891,G_loss = 13.5116,train acc = 0.8235, test acc = 0.8333,best acc = 0.8333,lr = 0.00020000 
Iteration 4, D_loss = 0.0130,G_loss = 13.1031,train acc = 0.8235, test acc = 0.8333,best acc = 0.8333,lr = 0.00020000 
Iteration 5, D_loss = 0.0601,G_loss = 11.4413,train acc = 0.7990, test acc = 0.8333,best acc = 0.8333,lr = 0.00020000 
Iteration 6, D_loss = 0.0018,G_loss = 13.5194,train acc = 0.8199, test acc = 0.8715,best acc = 0.8715,lr = 0.00020000 
Iteration 7, D_loss = 0.0019,G_loss = 13.5377,train acc = 0.8536, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 8, D_loss = 0.0007,G_loss = 14.8496,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 9, D_loss = 0.0008,G_loss = 14.6065,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 10, D_loss = 0.0012,G_loss = 15.0028,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 11, D_loss = 0.0010,G_loss = 14.3270,train acc = 0.8211, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 12, D_loss = 0.0009,G_loss = 14.9884,train acc = 0.8272, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 13, D_loss = 0.0010,G_loss = 14.9372,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 14, D_loss = 0.0006,G_loss = 14.9835,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 15, D_loss = 0.0004,G_loss = 15.7444,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 16, D_loss = 0.0003,G_loss = 16.5126,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 17, D_loss = 0.0002,G_loss = 17.0011,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 18, D_loss = 0.0002,G_loss = 16.6772,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 19, D_loss = 0.0001,G_loss = 17.0819,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 20, D_loss = 0.0001,G_loss = 17.4543,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
Iteration 21, D_loss = 0.0001,G_loss = 17.7197,train acc = 0.8235, test acc = 0.8333,best acc = 0.8715,lr = 0.00020000 
