Iteration 0, D_loss = 0.2560,G_loss = 8.8903,train acc = 0.8186, train f1 = 0.3007, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 1, D_loss = 0.0248,G_loss = 10.9000,train acc = 0.8174, train f1 = 0.1813, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 2, D_loss = 0.0016,G_loss = 13.9332,train acc = 0.8235, train f1 = 0.1284, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 3, D_loss = 0.0007,G_loss = 14.7364,train acc = 0.8235, train f1 = 0.0994, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 4, D_loss = 0.0004,G_loss = 15.3040,train acc = 0.8235, train f1 = 0.0811, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 5, D_loss = 0.0005,G_loss = 15.4104,train acc = 0.8235, train f1 = 0.0685, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 6, D_loss = 0.0007,G_loss = 14.6489,train acc = 0.8119, train f1 = 0.0593, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 7, D_loss = 0.0014,G_loss = 14.6198,train acc = 0.8235, train f1 = 0.0523, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 8, D_loss = 0.0007,G_loss = 14.5351,train acc = 0.8235, train f1 = 0.0467, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 9, D_loss = 0.2958,G_loss = 11.1549,train acc = 0.8094, train f1 = 0.0447, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8333, best f1 = 0.0000, lr = 0.00020000 
Iteration 10, D_loss = 0.0014,G_loss = 15.0665,train acc = 0.8186, train f1 = 0.0408, test acc = 0.8646, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 11, D_loss = 0.0012,G_loss = 15.5409,train acc = 0.8107, train f1 = 0.0375, test acc = 0.7986, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 12, D_loss = 0.0006,G_loss = 16.2633,train acc = 0.8180, train f1 = 0.0347, test acc = 0.8438, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 13, D_loss = 0.0004,G_loss = 16.8869,train acc = 0.8235, train f1 = 0.0323, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 14, D_loss = 0.0003,G_loss = 16.9381,train acc = 0.8235, train f1 = 0.0302, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 15, D_loss = 0.0003,G_loss = 17.0817,train acc = 0.8235, train f1 = 0.0284, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 16, D_loss = 0.0003,G_loss = 17.1309,train acc = 0.8235, train f1 = 0.0268, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 17, D_loss = 0.0002,G_loss = 17.4792,train acc = 0.8235, train f1 = 0.0253, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 18, D_loss = 0.0002,G_loss = 17.7151,train acc = 0.8235, train f1 = 0.0240, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 19, D_loss = 0.0002,G_loss = 17.8199,train acc = 0.8235, train f1 = 0.0228, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 20, D_loss = 0.0002,G_loss = 17.9705,train acc = 0.8235, train f1 = 0.0218, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
Iteration 21, D_loss = 0.0001,G_loss = 18.1170,train acc = 0.8235, train f1 = 0.0208, test acc = 0.8333, test f1 = 0.0000, best acc = 0.8646, best f1 = 0.0000, lr = 0.00020000 
