Iteration 0, D_loss = 1.0876,G_loss = 1.0464,train acc = 0.5283, train f1 = 0.5283, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 1, D_loss = 1.3542,G_loss = 0.6822,train acc = 0.5208, train f1 = 0.5208, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 2, D_loss = 0.9666,G_loss = 1.2154,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.5000, best f1 = 0.5000, lr = 0.00020000 
Iteration 3, D_loss = 0.9548,G_loss = 1.2242,train acc = 0.5104, train f1 = 0.5104, test acc = 0.6833, test f1 = 0.6833, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 4, D_loss = 0.9519,G_loss = 1.2252,train acc = 0.5253, train f1 = 0.5253, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 5, D_loss = 0.9518,G_loss = 1.2211,train acc = 0.5402, train f1 = 0.5402, test acc = 0.4917, test f1 = 0.4917, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 6, D_loss = 0.9525,G_loss = 1.2239,train acc = 0.5060, train f1 = 0.5060, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 7, D_loss = 0.9552,G_loss = 1.2245,train acc = 0.4911, train f1 = 0.4911, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 8, D_loss = 0.9512,G_loss = 1.2278,train acc = 0.5104, train f1 = 0.5104, test acc = 0.5083, test f1 = 0.5083, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 9, D_loss = 0.9494,G_loss = 1.2252,train acc = 0.5476, train f1 = 0.5476, test acc = 0.5917, test f1 = 0.5917, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 10, D_loss = 0.9563,G_loss = 1.2207,train acc = 0.5476, train f1 = 0.5476, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 11, D_loss = 1.1934,G_loss = 0.8628,train acc = 0.5253, train f1 = 0.5253, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 12, D_loss = 1.4542,G_loss = 0.4787,train acc = 0.4985, train f1 = 0.4985, test acc = 0.5167, test f1 = 0.5167, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 13, D_loss = 1.4810,G_loss = 0.7606,train acc = 0.4568, train f1 = 0.4568, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 14, D_loss = 1.4522,G_loss = 0.9726,train acc = 0.5089, train f1 = 0.5089, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 15, D_loss = 1.4552,G_loss = 0.9706,train acc = 0.5327, train f1 = 0.5327, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 16, D_loss = 1.4516,G_loss = 0.9697,train acc = 0.4940, train f1 = 0.4940, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 17, D_loss = 1.4504,G_loss = 0.9716,train acc = 0.5149, train f1 = 0.5149, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 18, D_loss = 1.4508,G_loss = 0.9708,train acc = 0.4881, train f1 = 0.4881, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 19, D_loss = 1.4505,G_loss = 0.9702,train acc = 0.5327, train f1 = 0.5327, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 20, D_loss = 1.2195,G_loss = 1.0235,train acc = 0.4896, train f1 = 0.4896, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 21, D_loss = 0.9537,G_loss = 1.2243,train acc = 0.4762, train f1 = 0.4762, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 22, D_loss = 0.9537,G_loss = 1.2241,train acc = 0.4732, train f1 = 0.4732, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 23, D_loss = 0.9518,G_loss = 1.2235,train acc = 0.4851, train f1 = 0.4851, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 24, D_loss = 0.9520,G_loss = 1.2253,train acc = 0.5030, train f1 = 0.5030, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
Iteration 25, D_loss = 0.9512,G_loss = 1.2209,train acc = 0.4643, train f1 = 0.4643, test acc = 0.5000, test f1 = 0.5000, best acc = 0.6833, best f1 = 0.6833, lr = 0.00020000 
